image,width,height,channels,seams,strip_height,dynamic_energy_s,dynamic_seam_s,dynamic_remove_s,dynamic_total_s,triangle_energy_s,triangle_seam_s,triangle_remove_s,triangle_total_s,total_speedup_dynamic_over_triangle,seam_speedup_dynamic_over_triangle,dynamic_output,triangle_output
720x480.png,720,480,3,512,16,0.371115,0.308119,0.052487,0.731721,0.370050,0.167066,0.052566,0.589681,1.2409,1.8443,dynamic_vs_triangle_results/720x480_dynamic.png,dynamic_vs_triangle_results/720x480_triangle.png
1024x768.png,1024,768,3,512,16,0.796007,0.624300,0.121445,1.541752,0.794750,0.417127,0.120711,1.332587,1.1570,1.4967,dynamic_vs_triangle_results/1024x768_dynamic.png,dynamic_vs_triangle_results/1024x768_triangle.png
1920x1200.png,1920,1200,3,512,16,2.344161,1.331055,0.414062,4.089277,2.340778,1.103258,0.431354,3.875391,1.0552,1.2065,dynamic_vs_triangle_results/1920x1200_dynamic.png,dynamic_vs_triangle_results/1920x1200_triangle.png
3840x2160.png,3840,2160,3,512,16,8.840100,3.727611,1.359019,13.926731,8.758396,4.167132,1.386683,14.312210,0.9731,0.8945,dynamic_vs_triangle_results/3840x2160_dynamic.png,dynamic_vs_triangle_results/3840x2160_triangle.png
7680x4320.png,7680,4320,3,512,16,35.668496,18.007454,6.439649,60.115599,35.566632,21.532925,5.544385,62.643941,0.9596,0.8363,dynamic_vs_triangle_results/7680x4320_dynamic.png,dynamic_vs_triangle_results/7680x4320_triangle.png
